"Objeto del Gasto","Auxiliar","Denominación","Desc. Larga"
"011","000","Sueldo básico de cargos","Codifica retrib. del personal q/ocupa cargos presupuestados permanentes correspondiente a Esc. c/igual régimen común, de manera siguiente: 1) A Profes.Univ; B Técnico;C Administrat.;D Especializado; E Oficios;F Serv.Aux.; JDocentes Otros Org.;R No Inclu.Ant.PtoNal; Ia VI del PJud.y Ia VI CElect.2) Esc.M Serv Ext 3) NJudicial e Magist,Secret y Prosec. SCJ del PJ 4)P Polít.y Q Part.Conf 5) L Policial 6) K Militar y 7) H Docente ANEP y G Doc. Univers. Ajusta a padrón desde 2025 en Inc.7 U.E 010"
"011","001","Sueldo básico Reservistas","Art 111 Decreto-Ley 14.157."
"011","300","Sueldo del grado","Corresponde a la retribución asignada al cargo para cada grado, de acuerdo al régimen horario (SIMPLI) Ajusta a Padrón. "
"011","301","Retribución por encuestas (INE)","Codifica la retribución que perciben los funcionarios del Inciso 02 UE 007 (INE), por concepto de encuesta realizada y verificada segùn Artìculos 64 y 65 Ley N° 19.355 19/12/2015."
"012","000","Incremento por mayor horario permanente","Codifica las retribuciones del personal presupuestado en cargos permanentes, correspondientes al tiempo de horario permanente que supere las 6 horas labor del cargo que ocupa, autorizado por las normas vigentes."
"013","000","Dedicación total","Codifica la retribución porcentual correspondiente al carácter de Dedicación Total de cargos presupuestados, declarados como tales en forma expresa por norma legal. La Ley Orgánica de la Udelar en Art.54 Ley 12549 16/10/58 permite al Cons.Direc.Ctral. mediante Ordenanzas, que personal docente y de investigación exclusiva realiza actividades con Dedic.Total. No se debe codificar a este objeto regímenes (dedicación permanente o exclusiva) que no sean de cargos o funciones contratadas."
"014","000","Compensación máxima al grado","Codifica la retribución por ocupar un cargo presupuestado permanente, según tabla de sueldos para 6 horas que rige para los Escalafones A,B,C,D,E,F,J y R según Artìculo 26 Ley 16170 28/12/90."
"015","000","Gastos de representación en el país con aportes","Codifica la retribución suplementaria para más decoroso desempeño, fijada por disposiciones legales a ciertos cargos del Estado-presupuestados permanentes- estableciéndose el monto y cargo a que corresponden y los aportes legales.
Gastos pasibles de aportes. Ajusta a Padrón desde 2025 en Inc.7, UE. 010"
"016","000","Gastos de representación en el país tasa 0 sin aportes","Retrib. suplement. p/más decoroso desempeño, fijada p/disposic.legales a ciertos/cargos d/Estado, Ptados/perman. y except. for./expresa d/Aporte legal, estableciéndo el monto/y cargo a q/corresponden. Gast. c/Aguinal.y/sin Aport. A.165 y A.157 L 16713, el aporte es del 0%, tasa cero, por lo tanto genera aguinal. NO FUE EXONERADO A TEXTO EXPRESO P/LEY, las exonerac. deben ser hechas a texto expreso, p/tal razón se entiende gravado, pero c/tasa cero. Ajusta a Padrón desde 2025 en Inc.07; UE. 010."
"021","000","Sueldo básico de funciones contratadas","Codifica las retribuciones del personal contratado permanente correspondiente a los Escalafones con igual régimen común.
El personal contratado reviste solo en el agrupamiento 1) indicado para el personal presupuestado. A su vez, se diferencian por montos básicos en:1.1)Profes.Univ; B Téc.;C Admt.t.;D Especializ.; E Oficios;F Serv.Aux.; J-Docente Otros Org.yR,No Inclu. Ant.del PNal.y Adm Cent. idénticas retrib. para 6hs. labor; 1.2) II,III, IV, Vy VI del Poder Judicial y 1.3) Ial VI de la CElec."
"021","300","Sueldo del grado de funciones contratadas","Corresponde a la retribución asignada a la función contratada para cada grado, de acuerdo al régimen horario (SIMPLI)"
"022","000","Incremento por mayor horario permanente","Codifica retribuciones del personal contratado para funciones permanentes, correspondientes al tiempo de horario permanente que supere las 6 horas de labor del cargo que ocupa, autorizado por las normas vigentes."
"023","000","Dedicación total","Codifica la retribución porcentual correspondiente al carácter de Dedicación Total de cargos contratados de funciones permanentes, declarados en forma expresa por norma legal. El artìculo 54 Ley Orgànica de la Udelar 12549 de 16/10/1958 permite al Cons.Direc.Central determinar, mediante Ordenanzas, el règimen del pers.docente y de investigación exclusiva que realiza actividades con Dedic.Total. No se debe codificar a este objeto regímenes (dedicación permanente o exclusiva) que no sean del cargo"
"024","000","Compensación máxima al grado","Codifica la retribución por ocupar cargos para personal contratado para funciones permanentes, según tabla de sueldos para 6 horas que rige para los Escalafones A,B,C,D,E,F,J y R según Art.26 Ley 16170 28/12/90"
"031","000","Retribuciones zafrales y temporales","Codifica las retribuciones del personal contratado directamente, para cubrir vacancias en forma interina y transitoria, asignada por Ley de Presupuesto Nal 19355 19/12/2015. No ajusta a padrón para los Incisos de la Administraciòn Central. En el Inciso 04 ""Ministerio del Interior"" tiene asignaciòn en financiaciòn 1.8 ""Fondos de Terceros Declarados por Ley "" que el inciso reasigna al 031/010 (A96 L18996)."
"031","001","ASSE-Funcionarios A.410 L.16170","Codifica las retribuciones del personal contratado directamente, para cubrir vacancias en forma interina y transitoria, por un plazo máximo de 180 días, de los funcionarios de ASSE-Inciso 29, amparados en el A.410 L.16170 del 28/12/1990. La facultad de contratación será del  Director de ASSE ."
"031","003","ASSE-Eventuales A.410 L.16170","Codifica las retribuciones del personal contratado directamente, para cubrir vacancias en forma interina y transitoria por un plazo máximo de 180 días en calidad de eventuales de ASSE-Inc.29, amparados en el A.410 L.16170 del 28/12/1990. La facultad de contratación será del  Director de ASSE.Redacción dada por A.263 L.18834"
"031","004","Contrato Temporal de Derecho Público A.53 L18719 A.600.19355","Codifica las retribuciones personales por contrato temporal de Derecho Público, definido en su origen por el A.53 L.18719 27/12/2010, para cubrir necesidades por un plazo màximo de 3 años y el A55 L.18719 27/12/2010 deroga los distintos contratos existentes hasta ese momento y se unifican en el Contr.temp.de Dcho Pub. para los Incisos 2 al 15. El A9 L19355 19/12/2015 no aplica en adelante A53, cumplido plazo finaliza el contrato. Crèdito s/reasig a Contr de Trab.AJ PADRON. A600 L.19355 Inc.29
"
"031","005","Contrato Artístico A.52 L.18719","Codifica las retribuciones personales por contrato artìstico para los Incisos 02 al 15 de acuerdo a lo previsto por el  A.52 L.18719 27/12/2010, de caràcter transitorio y los Contratos de Cachet vigentes a la Ley de Pto del Inciso 11=MEC pasan a esta modalidad o a Contrato Temporal de Dcho. Pùb. Incluye aguinaldo, aportes y FONASA. Se ajusta por aumento salarial. Dto.N.52/011 de 7/02/2011."
"031","006","Contrato Laboral A.54 L.18719","Codifica las retribuciones personales p/.contrato laboral  Incisos 02 al 15 p/A.54 L.18719, de caràcter transitorio, con plazo no > a 12 meses. Se rige p/las normas del Derecho Privado del trabajo. Dto.N. 53/011 7/02/2011. A.8 L.19996 deroga régimen de contratación p/ Inc Adm Ctal excepto para el Inc 11.(Contratos vigentes continúan hasta extinguir).
Excepción p/ el Inc.11 U.E 024, pude contratar p/24 meses (tares varias) en los casos que no cuente con func.pcos para realizarla,  A.195 L.18.834."
"031","007","Régimen Provisoriato A.50 L.18719","Regimen de contrato para los Incisos del 2 al 15 segùn A.50 L.18719 27/12/2010 para cubrir vacantes por un plazo de 18 meses a cuyo tèrmino, previa evaluaciòn, serà incorporado a un cargo presupuestado.(L. 19121 A.190 acorta a 15 meses) Utilizando a estos efectos como máximo los créditos habilitados para las vacantes correspondientes. Dto. N. 358/011 11/10/2011. A 5 L. 19.924 acorta el plazo a 12 meses, con fallo favorable queda incorporado. AJUSTA A PADRON."
"031","008","Encuestadores temporales - INE","Codifica las retribuciones de los encuestadores del INE que cobran por encuesta. Objeto que no va a ajustar a padrón, se moverá manualmente. Se creó en el ejercicio 2011 por A53 de la Ley 18719 27/12/2010 bajando de la bolsa 095/002, se solicitó pues se registraba en un 031/004 ""Contrato Temporal de Derecho Público""."
"031","009","Contrato de Trabajo A.92 L.19121","Codifica las retribuciones al personal por contrato de trabajo que desempeña tareas transitorias excepcionales, a término o tareas permanentes específicas, cuyo aumento de volúmen transitorio no pueda ser afrontado por los funcionarios presupuestados, cuya contratación se realiza con cargo a partidas para jornales y contrataciones, por el plazo de 2 años con prórrogas por idéntico plazo, según A.92 L19121 de 28/08/2013. Incisos 02 al 15."
"031","010","Funciones contratadas M. Interior  ","El A96 L18996 de 7/11/2012 autoriza al Ministerio del Interior a contratar hasta un máximo de 2000 funciones para cumplir con los servicios especiales previstos por el A193 L12376 31/01/1957 (redac. dada por A273 L18719) CGN incorpora los contratos suscritos en el Reg-Vinculos con el Estado (Módulo Org. y Func. SGH). Los fondos que se perciban de los organismos contratantes financiarán los contratos y constituirán ""Fondos de Terceros"" (Financ. 1.8). Inciso 04 es Inherente a cargo."
"031","011","Contrato Provisoriato - MIDES","El Artículo 523 de la Ley N° 19355 faculta al Mides=Inc.15 a contratar bajo el régimen de Provisoriato(A90 L19121) y excepc. de A93 y 94, personal que desempeñe tareas permanentes,mediante vinculo laboral con Org Civiles u otras instituciones de Dcho Pub.o Privado y presten servicios al Mrio. mediante una contraprestación economica por un plazo de 12 meses. No ajusta a Padròn. No es trasponible. Transitorio hasta tanto salga Decreto P.E creando los cargos. Se financia con 559/033 al G0."
"031","012","Contrato Zafral Art.8 Ley Nº 19.996","Ley 19996 Art. 8 Toda contratación que implique prestación de servicios a título personal en tareas asimiladas a los escalafones A,B,C,D,E,F,J y R, en Adm. Central. No podrá exceder el contrato los 8 meses, no admitiendo prórroga ni renovación.Se nutre del objeto 095/007.
A.30 L.20075 U.E 013 (Casinos) Inc 05 no podrá contratar zafrales a partir de la promulgación de la Ley."
"031","013","Contrato de Función Pública Art. 7 Ley Nº 19.996","Ley 19996 Art. 7 Toda contratación de función pública que implique prestación de servicios a título personal en tareas asimiladas a los escalafones A,B,C,D,E,F,J y R, en Adm. Central. Plazo de contratación será el que en cada caso se determine, no pudiendo exceder de un año, pudiendo prorrogarse hasta un máximo de cuatro años."
"031","014","Contrato Retirados Policiales","Codifica las retribuciones establecidas en el Art. 167 de la Ley N° 19924 que faculta a contratar hasta 1000 retirados policiales para desempeñar funciones correspondientes al sub escalafón ejecutivo, por el plazo de cuatro años prorrogable por un período de hasta dos años.Decreto 295/21, Decreto modificativo 426/21.
Se nutre del objeto 095/009 Fondo para Contrato  Retirados Policiales."
"031","015","Contrato Función Pública INUMET","Según art. 631 de Ley 19355, autoriza a INUMET para celebrar contratos de función pública con aquellos contratados como temporales de derecho público y como contratados a término. 
Art. 16 de Ley 16226. "
"031","016","Contrato personal extranjero INUMET","Según Ley 18535 Art. 208 autoriza a INUMET a contratar personas extranjeras con méritos relevantes para el desarrollo del conocimiento, investigación y ciencias. Contrato 3 años con opción a 3 más. No genera derechos ni expectativas para cargos presupuestales."
"032","000","Retribuciones de técnicos","Codifica las retribuciones de contrataciòn de técnicos para funciones no permanentes.
El Art.22 de la Ley 14.189 30/04/1974 vigente hasta 31/03/2011 para contratar tècnicos. El Artìculo 55 Ley 18719 27/12/2010 deroga el A22 L14189. Asignaciòn presupuestal en el Inciso 27 = INAU."
"033","000","Técnicos contratados c/func. alta prioridad","Codifica las retribuciones de técnicos contratados para desempeñar funciones de alta prioridad. 
El Artículo 7 de la Ley 16.320 1/11/1992 vigente hasta el 31/03/2011 para contratar técnicos.  El Artículo 41 Ley 18719 de 27/12/2010 deroga el A7 L16320.
Asignación presupuestal en los Incisos 02, 04, 05, 07, 11 y 34 por Ley de Presupuesto Nacional N.19.355 19/12/2015.
"
